省エネ計算,新築,ホテル,RC造,"1,885㎡",沖縄県
省エネ計算,増築,パチンコ店,S造,"800㎡",神奈川県
省エネ計算,新築,クリニック,S造,"500㎡",栃木県
省エネ計算,改修,共同住宅,S造,"532㎡",東京都
省エネ計算,新築,グループホーム,RC造,"484㎡",佐賀県
省エネ適判,新築,ホテル,S造,"580㎡",東京都
省エネ適判,新築,倉庫+事務所,S造,"594㎡",岐阜県
省エネ適判,新築,老人ホーム,RC造,"1,000㎡",大分県
省エネ届出,新築,共同住宅+地域交流センター,木造,"730㎡",東京都
省エネ届出,新築,事務所+店舗共同住宅,RC造,"736㎡",東京都
省エネ届出,新築,長屋,木造,"483㎡",福岡県
BELS,新築,戸建て,木造,"82㎡",東京都
BELS,新築,複合施設,RC造,"42,000㎡",埼玉県
BELS,新築,共同住宅,RC造,"5,529㎡",千葉県
BELS,既存,倉庫,S造,"13,719㎡",千葉県
BELS,既存,ホテル,RC造,"2,238㎡",京都府
Nearly ZEB,新築,工場+事務所,RC造,"11,112㎡",山梨県
Nearly ZEB,新築,事務所+車庫,RC造,"1,538㎡",愛知県
ZEB Ready,増築,小学校,S造,"903㎡",千葉県
ZEB Ready,既存,倉庫,S造,"28,262㎡",埼玉県
ZEH,新築,戸建て,木造,"140㎡",北海道
ZEH,新築,戸建て,混構造,"132㎡",兵庫県
ZEH Oriented,新築,店舗+住宅,木造,"138㎡",北海道
ZEH-M oriented,新築,共同住宅,RC造,"822㎡",東京都
CASBEE,新築,ショールーム+事務所+整備工場+車庫,S造,"2,961㎡",大阪府
CASBEE,新築,ホームセンター,RC造,"13,115㎡",京都府
CASBEE,増築,共同住宅,RC造,"4,158㎡",神奈川県
CASBEE,新築,大学,S造,"1,560㎡",愛媛県
CASBEE,新築,老人ホーム,RC造,"3,000㎡",新潟県
住宅性能評価,新築,共同住宅,RC造,"3,850㎡",千葉県
住宅性能評価,新築,店舗+共同住宅,RC造,"5,875㎡",青森県
その他対応,新築,戸建て,木造,"113㎡",茨城県
その他対応,新築,物産館,RC造,"600㎡",石川県
フラット35,新築,共同住宅,RC造,"1,400㎡",東京都
フラット35,新築,戸建て,木造,"100㎡",茨城県
説明義務,新築,戸建て,木造,"78㎡",東京都
説明義務,新築,事務所,S造,"142㎡",東京都
長期優良住宅,新築,専用住宅,木造,"135㎡",兵庫県
東京都環境計画書,新築,共同住宅,RC造,"2,999㎡",東京都
避難安全検証法,新築,工場+事務所,S造,"16,000㎡",埼玉県
